"Breaking news: Celebrity caught in scandalous act",1
"Scientists discover new species in the Amazon rainforest",0
"Local man wins lottery for the second time",0
"Fake news article claiming moon landing was a hoax",1
"Researchers develop new treatment for cancer",0
"Fake news: Government plans to ban coffee",1
"Technology giant releases innovative new smartphone",0
"Fake report on health benefits of chocolate goes viral",1
"New study shows exercise reduces risk of heart disease",0
"Hoax news story about aliens landing in rural town",1
"Government announces new policies to boost economy",0
"Fake news: Water turning frogs gay",1
"Scientists find evidence of life on Mars",0
"Fake news: Vaccines cause autism",1
"Local hero saves child from burning building",0
"Fake report on benefits of drinking bleach",1
"Research shows positive impact of meditation on mental health",0
"Fake news: Earth is flat",1
"Breakthrough in renewable energy technology",0
"Fake news: 5G causes COVID-19",1
